plate_num,temperature_deg_c,time_h,scale_mol,stirring_shaking,concentration_mol_l,startingmat_1_name,startingmat_1_eq,startingmat_2_name,startingmat_2_eq,reagent_1_cas,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_cas,catalyst_name,catalyst_smiles,catalyst_eq,ligand_cas,ligand_name,ligand_eq,solvent_1_cas,solvent_1_name,solvent_1_smiles,solvent_1_fraction,solvent_2_cas,solvent_2_name,solvent_2_smiles,solvent_2_fraction,product_1_area%,selectivity_area%
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,2097604-70-9,Tyrannophos,0.05,67-63-0,iPrOH,CC(C)O,0.75,7732-18-5,water,O,0.25,0.01031051969,0.01582045451
2,100,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,7791-20-0,NiCl2.6H2O,[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].Cl[Ni]Cl,0.025,93634-87-8,PtBuCy2,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,93634-87-8,PtBuCy2,0.05,67-63-0,iPrOH,CC(C)O,0.75,67-56-1,MeOH,CO,0.25,0,0
2,40,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,857356-94-6,Me4tBuXPhos,0.05,67-63-0,iPrOH,CC(C)O,1,,none,,,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,247940-06-3,CyJohnPhos,0.05,67-63-0,iPrOH,CC(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,6163-58-2,P(oTol)3,0.05,67-63-0,iPrOH,CC(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,564483-18-7,XPhos,0.05,67-63-0,iPrOH,CC(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,1160556-64-8,CPhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,213697-53-1,DavePhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,224311-49-3,tBuDavePhos,0.05,67-56-1,MeOH,CO,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,857356-94-6,Me4tBuXPhos,0.05,75-85-4,tAmOH,CCC(C)(C)O,1,,none,,,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,247940-06-3,CyJohnPhos,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,6163-58-2,P(oTol)3,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,2097604-70-9,Tyrannophos,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,40,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,564483-18-7,XPhos,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,857356-94-6,Me4tBuXPhos,0.05,67-63-0,iPrOH,CC(C)O,0.75,67-56-1,MeOH,CO,0.25,0,0
2,55,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,93634-87-8,PtBuCy2,0.05,67-63-0,iPrOH,CC(C)O,0.75,67-56-1,MeOH,CO,0.25,0,0
2,55,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,857356-94-6,Me4tBuXPhos,0.05,67-63-0,iPrOH,CC(C)O,1,,none,,,0,0
